,Sequencen,True next word,Predicted word,Predictions,Correct
0,about the world which they lived progress the european and,europeanized,europeanized,[0.9940777],True
1,situation and gave the belgians monarch leopold of saxe coburg,gotha,gotha,[0.99994373],True
2,westward it meant the possibility of continuous access to washington,however,however,[0.8641862],True
3,british built engines upon the hudson river above new york,the,the,[0.5535655],True
4,to innovation unless it has the spur of contact with,independent,independent,[0.09270809],True
5,royal society and its work realizing the dream of bacon,’,’,[0.8602296],True
6,are now roumania and serbia part of the jugo slav,region,region,[0.96290344],True
7,dundas on the firth of clyde canal and american named,fulton,fulton,[0.99942684],True
10,last britain france and russia took joint action the turkish,fleet,fleet,[0.69191],True
11,the chief european distances to about tenth of what they,had,had,[0.676133],True
13,administration the full significance of that possibility europe still remains,to,to,[0.89940023],True
14,opening years of the nineteenth century while these conflicts of,the,the,[0.9394097],True
15,from onward railways multiplied by the middle of the century,network,network,[0.9373084],True
17,scientific thought of this period endowed learning is apt to,be,be,[0.6102499],True
19,of the century network of railways had spread all over,europe,europe,[0.79376096],True
20,here sudden change what had long been fixed condition of,human,human,[0.62535894],True
21,journey of about miles he travelling with every conceivable advantage,and,and,[0.3239782],True
22,science the science of geology—foreshadowed by aristotle and anticipated by,leonardo,leonardo,[0.9990094],True
23,era america the effects were immediate to the united states,of,of,[0.7641172],True
24,dream of bacon ’ s new atlantis throughout the eighteenth,century,century,[0.9344632],True
25,christian governors were set up the danubian provinces which are,now,now,[0.94644105],True
27,on disconnected from political life and producing throughout the seventeenth,and,and,[0.46562764],True
28,or of annexation to france hurried to pacify this situation,and,and,[0.7521122],True
29,of interpreting the record of the rocks early rolling stock,on,on,[0.8444724],True
30,the insurgents and at last britain france and russia took,joint,joint,[0.22523579],True
31,were about the same maximum rates of travel as held,good,good,[0.32927927],True
32,about miles he travelling with every conceivable advantage and he,averaged,averaged,[0.81372786],True
33,conflicts of the powers and princes were going on europe,and,and,[0.56593144],True
34,the european and europeanized world it went on disconnected from,political,political,[0.43400615],True
35,locomotive the first railway between stockton and darlington opened and,stephenson,stephenson,[0.998965],True
36,continuous access to washington however far the frontier travelled across,the,the,[0.9759863],True
37,to be realized europe is still netted boundaries drawn the,horse,horse,[0.5691226],True
38,sudden change what had long been fixed condition of human,life,life,[0.31218958],True
40,railway here sudden change what had long been fixed condition,of,of,[0.98792404],True
41,of contact with independent minds we have already noted the,formation,formation,[0.6687143],True
42,the time these were about the same maximum rates of,travel,travel,[0.96335864],True
43,spur of contact with independent minds we have already noted,the,the,[0.74741393],True
44,the full significance of that possibility europe still remains to,be,be,[0.5356388],True
45,opened and stephenson ’ s “ rocket ” with thirteen,ton,ton,[0.96131086],True
46,there were ineffectual revolts italy and germany and much more,serious,serious,[0.09368158],True
48,new abundance appeared to revolutionize industry trevithick adapted the watt,engine,engine,[0.9327801],True
50,europe and the patchwork of the treaty of westphalia changing,kaleidoscopically,kaleidoscopically,[0.99776995],True
51,reacted upon practical inventions machinery on new scale and new,abundance,abundance,[0.893655],True
52,up by the current revolution france revolted against its dutch,association,association,[0.8826586],True
53,governments of europe looked on liberal opinion protested against this,inactivity,inactivity,[0.9934974],True
54,the steamboat clermont a the steamboat if anything little ahead,of,of,[0.95925736],True
55,own speech is it any wonder that one of the,most,most,[0.11525587],True
56,on the liverpool and manchester railway here sudden change what,had,had,[0.33404383],True
57,steamboat if anything little ahead of the steam engine its,earlier,earlier,[0.08165912],True
59,by leonardo vinci —began its great task of interpreting the,record,record,[0.9630073],True
60,done this distance twice the time these were about the,same,same,[0.52839804],True
61,realizing the dream of bacon ’ s new atlantis throughout,the,the,[0.96225786],True
62,resistent to innovation unless it has the spur of contact,with,with,[0.97476846],True
63,looked on liberal opinion protested against this inactivity volunteers from,every,every,[0.24432279],True
64,of optical glass microscope and telescope renewed energy classificatory natural,history,history,[0.92408156],True
66,miles hour ordinary traveller could not have done this distance,twice,twice,[0.7209284],True
67,while the sailing ship spreading european influence throughout the world,steady,steady,[0.48442632],True
68,came this tremendous change the railways reduced this journey for,any,any,[0.3472889],True
69,and motion much mathematical advance systematic development of the use,of,of,[0.95540166],True
70,to carry out administrative work areas ten times as great,as,as,[0.64894235],True
71,the liverpool and manchester railway the first days of the,railway,railway,[0.73120725],True
73,she not permitted to resume her ancient republican traditions german,king,king,[0.797631],True
74,ton train got up to speed of forty four miles,per,per,[0.9832153],True
76,century it process that went on chiefly small world of,prosperous,prosperous,[0.81476384],True
78,general ideas about matter and motion much mathematical advance systematic,development,development,[0.5323874],True
81,the world steady growth of knowledge and general clearing up,of,of,[0.8330432],True
82,science of geology—foreshadowed by aristotle and anticipated by leonardo vinci,—began,—began,[0.9998534],True
83,twice the time these were about the same maximum rates,of,of,[0.9997603],True
84,by the french and english at the battle of navarino,and,and,[0.98291194],True
87,kaleidoscopically into the patchwork of the treaty of vienna and,while,while,[0.90283936],True
88,—began its great task of interpreting the record of the,rocks,rocks,[0.9464382],True
90,been fixed condition of human life the maximum rate of,land,land,[0.19297092],True
91,as the state religion map europe after the congress of,vienna,vienna,[0.95882297],True
93,were to come later and only their full force the,latter,latter,[0.6133012],True
95,bacon ’ s new atlantis throughout the eighteenth century there,much,much,[0.32809287],True
96,with every conceivable advantage and he averaged under miles hour,ordinary,ordinary,[0.11397023],True
97,from these lands lvii the development of material knowledge throughout,the,the,[0.9942272],True
99,of the netherlands the powers terrified at the possibilities of,republic,republic,[0.36079514],True
100,optical glass microscope and telescope renewed energy classificatory natural history,great,great,[0.56854266],True
102,greeks against the turks for six years they fought desperate,while,while,[0.10425113],True
103,the watt engine to transport and made the first locomotive,the,the,[0.9853426],True
105,change the railways reduced this journey for any ordinary traveller,to,to,[0.16190587],True
106,ahead of the steam engine its earlier phases there steamboat,the,the,[0.95415896],True
107,reduced this journey for any ordinary traveller to less than,forty,forty,[0.19282125],True
108,had still to run however before the turk altogether expelled,from,from,[0.72476256],True
109,with great violence and cruelty the polish language banned and,the,the,[0.9887489],True
111,british museum french speaking belgium stirred up by the current,revolution,revolution,[0.9983625],True
112,there the german fatherland portrait of napoleon coronation portrait of,napoleon,napoleon,[0.90447134],True
113,onward railways multiplied by the middle of the century network,of,of,[0.90288985],True
114,phases there steamboat the charlotte dundas on the firth of,clyde,clyde,[0.99712014],True
115,development of the use of optical glass microscope and telescope,renewed,renewed,[0.87903047],True
116,he averaged under miles hour ordinary traveller could not have,done,done,[0.20268303],True
118,disaster napoleon travelled from near vilna to paris hours this,journey,journey,[0.78205657],True
120,independent spirited people without what the english call the “,private,private,[0.26817244],True
121,the congress of vienna there insurrection of the greeks against,the,the,[0.70591545],True
122,stephenson ’ s “ rocket ” with thirteen ton train,got,got,[0.7679658],True
123,it has the spur of contact with independent minds we,have,have,[0.22797948],True
124,which went from new york hoboken to philadelphia too the,first,first,[0.9636652],True
125,the treaty of westphalia changing kaleidoscopically into the patchwork of,the,the,[0.9892279],True
126,substituted for the roman catholic as the state religion map,europe,europe,[0.54629064],True
127,same maximum rates of travel as held good between rome,and,and,[0.847613],True
128,period endowed learning is apt to be timid and conservative,learning,learning,[0.9035371],True
129,fatherland portrait of napoleon coronation portrait of napoleon coronation from,print,print,[0.96561074],True
130,of larger and bolder handling of masses of metal and,other,other,[0.81136173],True
132,that wherever the german tongue spoken there the german fatherland,portrait,portrait,[0.90839624],True
133,german king found for greece one prince otto of bavaria,and,and,[0.9895577],True
136,tsar invaded turkey by the treaty of adrianople greece declared,free,free,[0.98068845],True
137,ten times as great as any that had hitherto been,workable,workable,[0.9713499],True
139,kingdom of the netherlands the powers terrified at the possibilities,of,of,[0.8889339],True
140,with british built engines upon the hudson river above new,york,york,[0.9599731],True
142,saxe coburg gotha there were ineffectual revolts italy and germany,and,and,[0.92392296],True
143,still netted boundaries drawn the horse and road era america,the,the,[0.9732361],True
144,of saxe coburg gotha there were ineffectual revolts italy and,germany,germany,[0.97507906],True
145,against its dutch association the kingdom of the netherlands the,powers,powers,[0.4013378],True
146,hurried to pacify this situation and gave the belgians monarch,leopold,leopold,[0.9807936],True
147,private gentleman ” the scientific process could not have begun,greece,greece,[0.29688865],True
148,canal and american named fulton had steamer the clermont with,british,british,[0.37863907],True
150,by the treaty of adrianople greece declared free but she,not,not,[0.22611438],True
151,went on disconnected from political life and producing throughout the,seventeenth,seventeenth,[0.73522955],True
152,britain france and russia took joint action the turkish fleet,destroyed,destroyed,[0.10876915],True
154,process could not have begun greece and could not have,been,been,[0.7264221],True
155,and princes were going on europe and the patchwork of,the,the,[0.6411248],True
156,print the british museum french speaking belgium stirred up by,the,the,[0.91838694],True
157,tremendous change the railways reduced this journey for any ordinary,traveller,traveller,[0.9460043],True
158,be realized europe is still netted boundaries drawn the horse,and,and,[0.82914793],True
159,appeared to revolutionize industry trevithick adapted the watt engine to,transport,transport,[0.98259985],True
161,alexander and then stamped out of existence with great violence,and,and,[0.95902765],True
162,sea american the phœnix which went from new york hoboken,to,to,[0.9861813],True
